Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Lilac Daisy,"I found out about this show when looking for Country-music Christian songs and heard ""The Woman at the Well."" It was such a beautiful scene, I looked it up, to see what they were saying. It made me cry. And then I felt guilty for being so moved by a fictional Jesus. Soon, I heard someone say that God chose to reveal himself through WORDS alone. Not plays, not images, not even statues of images. That really hits home when I read about Jesus being made THE Word, and that we're the only created being that uses words. 

It's extraordinary.

We were made for words, and God's word is made for us.",For,,77,11 replies,8 months ago
Will Bay,"Thanks Todd Friel for the warning about some of the influences behind The Chosen. I will take them on board. I can honestly say that I have never been as excited by The Chosen as The Bible & visiting Israel & meeting Jews, Messianic Jews & Christians there. I still think that The Chosen is an incredible project though, that has been instrumental in introducing many people to Jesus & persuading them to go & open a Bible. It has Blessed me & been a reminder of just how Jewish Jesus & the Bible is. I find it so sad & frustrating that so many Christian Churches I have worshipped in are beautifully steeped in God's Word but have so little interest in or understanding of the Jewish context of it or God's enduring relationship with The Jews as well as us Gentiles.
Todd, doesn't it feel odd to be quite rightly proclaiming that The Bible alone is sufficient to learn about Jesus & how to be saved from Sin, be made right with Our Creator - God Almighty, Jesus' Father, who sent us The Holy Spirit &  offers us Eternal Life; and then advertise a book you have written about Jesus? It may be very scholarly & well meaning but does Jesus really need 'Unmasking'? I don't get it?? 
Geoff from the UK.",Against,,4,,4 months ago
grace foralways,"After the first season, I stopped watching because I was starting to ""read"" the Chosen into the Bible. I was thinking up things in my head that ""probably"" also happened. 
No way I wanted to continue doing that. 
All I need to know about my Savior has already been told to me plainly in the BIBLE",For,,323,40 replies,8 months ago
1Tonne Airsoft,"I love the Chosen because I struggle to comprehend something when I read it, but by watching the Chosen and then rereading the Gospels, my comprehension has increased a lot. It helps me to put pictures into my mind so that I can follow the Gospels better. 
Obviously it is not the bible and Dallas also points this out. There are many children's bible story books that are not the bible either. Should we now not read these to children since they are not the true bible? No. We still need our children to learn and if we read the whole story from the bible, then children may not comprehend it. So we simplify the stories for children in kids books.",Against,,16,2 replies,8 months ago
Joshua Johnson,"I’ve tried several times to watch the series but it just felt “off” to me and I never made it past the first episode. The whole addition to the biblical stories didn’t feel right to me. Now I know why, thank you Todd. Love you brother.",For,,5,,8 months ago
Darin Costantine,"As a mature Christian, I recognized quickly that this was fiction and watched it with that in mind. But for a new believer to watch this it's very dangerous. I watched it with a new Christian and she was in love with the show.  She never read the Bible and now has no desire to read the gospels because she's getting everything from the show. Very dangerous.",For,,254,32 replies,8 months ago
"
              Vision unSEALED
            ","I watched the previous episodes. I had few concerns, but this video gives me a lot to think about. Thanks for sharing",For,,42,2 replies,8 months ago
chuck oaks,It drove me to my bible.,Against,,15,,8 months ago
Joal Rycar Refe,"I watched the first few episodes they aired in the mobile app, I already knew something was wrong, that’s why i didn’t continue watching. The Holy Spirit always guides us and gives us the right discernment if there is something unbiblical about anything. Btw, thanks Todd.",For,,23,2 replies,8 months ago
Kaff231,Here's what I have learned about watching The Chosen the attention to authenticity of Jesus/Yeshua is absolutely crucial in knowing who He is..I for one have been moved so many times while watching The Chosen. Also how the Chosen has made me draw closer to God and to His Word. Other Christian movies and series water down His heritage which The Chosen has done beautifully. The humanity it shows through this series is beautiful.      If the love and humanity of Jesus shows through this series and draws people to Jesus then I believe it has done a wonderful thing.,Against,,1,1 reply,4 months ago
A V,"Hey thanks Todd! This video is good, to the point, and gives those of us who have been fans of the Chosen some serious things to consider before continuing to watch.",For,,6,2 replies,8 months ago
Ted Wagner,"I didn't really feel too bothered until scenes like where Jesus was preparing for the sermon on the mount and he was pacing around wringing his hands unsure of what to say.  They portraited him like some high school kid preparing for speech class and then Matthew reassuring him on what to say,  Then Dallas proclaiming we all embrace the same Jesus as Mormons & Roman Caths.  Huge biblical Red flags",For,,14,5 replies,8 months ago
Phinneas-David Williams,"Thank you for making this video, I have debated for quite awhile weather or not to watch the chosen, I finally decided to try, but couldn't make it through a whole episode, I haven't been able to explain why I couldn't bring myself to watch the show, but had a strong conviction not to. This helped me to confirm that instinct.",For,,5,3 replies,8 months ago
Scott McCloud,"I've honestly watched both seasons but I'm still learning my way around the Bible. So based on this information, I'll just read my Bible and buy Todd's book.",For,,26,22 replies,8 months ago
Jonathan Simmons,That's why I love to watch The Gospel of John movie. Word for word with great acting.,Drop,,10,2 replies,8 months ago
Marilyn Franklin,"People in my family have loved watching the chosen.  They are unbelievers as well as catholic.  They can't  wait for season 3. Thank you Dallas for making jesus real in this series.  I saw a few things that weren't  accurate, like when Jesus multiplied the fish, I think they were supposed to go out deeper. It didn't change the way I believe. We don't know every thing that happened in those 3 years  but historically it was like that. We can only imagine.  It makes me want to be there. And maybe Jesus really liked goat cheese. Maybe he smiled and winked. I love Him",Against,,6,1 reply,8 months ago
sandstorm7,"My biggest pet peeve with The Chosen is definitely the putting words in Jesus' mouth thing. 
And not only that, but the trailers give him such trendy modern sounding language too.
""I'm going to start a revolution.""
""That's the idea.""
Bleh... That does not feel like Jesus.

The Gospels always gave me the sense that Jesus did not speak freely and loosely like we often do. He spoke seldomly, and when he did, he did so with purpose and authority in every word. At least, that's how I feel.",For,,129,19 replies,8 months ago
Melissa D.,"I watched The Chosen. I really liked it. I do know parts are fiction but other parts are straight out of scripture.  My first thought after listening to Todd's commentary is The Chosen is no different than The Ten Commandments, Greatest Story Ever Told, or any other of the great movies based on Biblical history.  If a movie causes just one soul to start searching for the real Jesus, why is that wrong? Mark 9:38-40
""38 - John said to him, “Teacher, we saw someone casting out demons in your name, and we tried to stop him, because he was not following us.”  39 - But Jesus said, “Do not stop him, for no one who does a mighty work in my name will be able soon afterward to speak evil of me. 40 - For the one who is not against us is for us.""",Against,,66,54 replies,8 months ago
me_3189,"Before I watch this video, I want to give my personal perspective on the Chosen.

I LOVE(ed) it.

Through tears, laughter, heart feel’zee good’zees I watched each episode multiple times and cried at all the same spots.

BUT

but…but….but….but….
I developed a bad taste in my mouth after tuning in to some of the videos where Dallas was interviewing the actors.

I soon, almost immediately had an “I don’t like this” feeling.

The actors have been put onto celebrity pedestals instead of being like John the Baptist and shrinking into the background.

I could even look past the multi religious beliefs of the cast IF Dallas had made a public profession of his desire to evangelize them and lead them to the True Jesus.

Lastly…while I enjoyed very much each beautiful moment as portrayed in the show….I cannot get past the blatant need for Dallas and team to “be like the world” and conform.

It does sadden me because I feel that had he made that part of his mission statement and not just to “make people love Jesus”, perhaps his mission would taste better.

Thank God for His word and my Spirit provoked desire to KNOW and LOVE my Savior.

Now….let’s see what Todd thinks. 

UPDATE:  I watched…Todd made great points….The Scriptures ARE ENOUGH. ️",For,,21,5 replies,8 months ago (edited)
Mark Has ZOE-Life,"Thank you Brother, I agree with you 100  Thank you for standing up for truth",For,,2,,8 months ago
LeeLee5,"I’ve watched several of Dallas’ interviews/talks, and always have the same thought…Dallas sounds naive. Watched the first season, and enjoyed it…as fiction. I’ll keep relying on my source of real truth, God’s inerrant word. I can see how babies in Christ could easily be mislead to believing they are getting full truth in these videos. We all need to read, study, and know the scriptures for ourselves, so we can have discernment when things like this come along, and they will. ",For,,18,1 reply,8 months ago
Captain Pantys,Dude these ending skits slay me hahaha!,Drop,,4,"·
1 reply",4 months ago
Judita,I had the same concerns when I watched a few episodes of the Chosen. They added new words of Jesus but also his emotions and other stuff. There is a reason why the scripture mentions only something. I am glad I was not the only one who felt like this watching the show.,For,,31,11 replies,8 months ago
Resident Alien,"I bought, watched numerous times and enjoyed Season 1 of the Chosen.  Not so for Season 2. In between seasons 1 and 2 warning signs kept coming up. Something just wasn’t right about the Chosen , and Todd put his finger on it.
Thanks, Todd :)",For,,28,1 reply,8 months ago
Erlend Torp,"Thank you, Todd, and thank you Wretched radio. I remember you guys speaking up about the so called ""Lakeland revival"" back in 2008. Way Of The Master was spot on back then, and you helped me understand why friends of mine suddenly walked away from sound teaching. I am not a calvinist, and I reject the idea of limited atonement. But I am gratefull for your effort to stick to the Bible. Thank you",Drop,,"
    0
  ",,8 months ago
Saved By His Grace,"Way to go Todd, glad you covered this! Much needed.",For,,5,,8 months ago
Wretched 2JZ T.V.,"I’ve had issues with the Chosen from the first season on! Major issues!!!

But like everything, God opened my eyes to all the truth and it being BAD behind them.

Bunch of watered down broad road American “Christianity” .

There’s a GREAT 5 Hour Exposure video on them too. I’ll try to find it and link it!",For,,7,,8 months ago
Hank Fontaine,"A blessing you are, thank you",For,,"
    0
  ",,2 months ago
Jules,"Thank you, I really needed to hear this!",For,,2,,8 months ago
Vagrant,"I've never watched it despite hearing rave reviews about it. It just felt like the Holy Spirit was steering me away from it and admittedly, I never really looked into why. Thanks for explaining it sir! Now I know.",For,,36,4 replies,8 months ago (edited)
Eileen MacDougall,I pray God continues to bless Wretched.,For,,8,,4 months ago
Suzette Calleja,Never watched the Chosen. Watched the trailers that was enough. Red flags all over the place. Now I'm sure of that. Thank you.,For,,44,1 reply,8 months ago
Sophie,"Grateful for this. I wasn't sure how to take the series. Got questions seems to back the chosen too, although it did warn about the mixed production team- and usually that is my go to advice when I am uncertain on biblical things. Thank you for your discernment on this!",For,,5,4 replies,8 months ago
Lois Carteaux,Excellent and faithful teaching!,For,,2,,8 months ago
Sosa's Steel Strings,"God bless always love the questions and concerns you bring for the body of Christ to ask.
For others:

There are a couple of direct interviews made on YT that you can watch in regards to these topics that Dallas Jenkins is asked about",Drop,,1,,8 months ago
"Know Christ, Know life. No Christ, No life","I think that people really enjoy the music and scenes of  miracles. It brings strong emotions.

Just seeing them is enough for some viewers and they want to see what they read.",Against,,2,2 replies,8 months ago
Idahojoe,"Thank you Todd - 
I too shall pass on chosen and choose Tota Scriptura - wife and I do love to watch Heartcry ministry documentaries on thee body of Christ serving faithfully in tough situations…  
Pray for that ministry!
2 John 1:6",For,,3,1 reply,8 months ago
Lin,"Amen, Theology matters!!",For,,8,,8 months ago
Rafael Garza,"Something always told me not to watch the ""Chosen,"" and your informative video now confirms my initial unction. God bless you, Brother.",For,,16,1 reply,8 months ago
Diana D,"I was an early supporter of The Chosen. I saw the nativity episode and loved it. Kept supporting it through the first episode and wasn’t troubled by it. But the second season began to go so far away from scripture that I was convicted and didn’t support it anymore. I suppose at first it just felt so wonderful to watch something besides the filth on tv and movies. But the non stop attention to Mary (mother) and reading some of the interviews by the man portraying Jesus, I knew most likely it would end up a very catholic show. So the Holy Spirit opened my eyes and I no longer support The Chosen.",For,,13,1 reply,8 months ago
ogloc,Glory to God,For,,4,,8 months ago
LowkeyJuice,The chosen tickled my eyes and ears.,For,,1,,8 months ago
Psalm27:10,"I just finished watching another video about this, I had the video on my watch later que for a while, just finished listening to it and then this one came up. Earlier tonight I read the scripture Melissa D pointed out, Mark 9:38-40 so I see God speaking to me directly, telling me to be careful.",For,,3,1 reply,8 months ago (edited)
Anthony Tan,"As a fan of The Chosen, I must admit that my guards went up when while watching this video. I have rebuttals ready for all points mentioned in this video and so much more. I've also read the comments that had concerns about watching The Chosen and I have replies for each one that I read so far.

I want to really have an open mind to the concerns and I'm still trying to understand but I am really having a hard time doing that because it goes against my biases. Cognitive dissonance I think is what it's called.

Having said all these, I feel I owe it to those who have a chance to read this comment to explain why I don't fundamentally agree with some of the claims this video made.

1. Theology: Regarding the other influences. The mormon producers have zero influence on the theology being shown in the series. The Jesus shown in the series is not a created being. The series does not teach a works-based salvation. There are no Roman Catholic theology in the episodes. The reason Mormons and Catholics are not offended by The Chosen is not because The Chosen agrees with their theology...but rather, the exclusive theologies of Roman Catholicism and Mormonism are yet to be explored (3 seasons as of this comment). Although I've seen some comments expressed by some Catholics that found offense on Mother Mary's depiction of suffering in labour for baby Jesus. From what I've seen, the only influence the Catholic Priest ever had was to make sure any depictions of Mary would be palatable to the Catholic viewers but The Chosen has not went out of its way to show a Divine Mary 3 seasons so far. I would say that the biggest influence in The Chosen is the Messianic Rabbi. Jewish prayers, customs, traditions, festivals, places, outfit, I have never seen a Jesus show that has embraced the Jewishness of the bible more than The Chosen.

2. Sufficiency: If you watch The Chosen because it helps you to learn about Jesus more, that means that the show is doing its job as a Christian TV show. If you watch the show because it helps you love Jesus more, then the show is doing its job as a Christian TV show. But if you watch The Chosen and you're not learning about the biblical Yeshua and you're not growing in love with the biblical Yeshua, then by all means, avoid watching it. A Christian TV show can only do so much. But to say that The Chosen conflicts with Sola Scriptura is a stretch. The creative liberties of the show are not comparable to the apocryphal books. The rhetorical goals of the 66 books of the bible are not altered in The Chosen. The show never claimed to be a replacement and infact acknowledges the creative liberty. It would be wrong to use The Chosen as a bible replacement in the same way that it would be wrong for Christian books to be a bible replacement. A pastor should point you back to God and His Word. Christian books and bible commentaries should point you back to God and His Word. That's what The Chosen aims to do from a TV show medium...and this is what I think people would be missing out on and what fans of the show are enjoying.

3. Blasphemy: The statements offered in this 3rd point presupposes that The Chosen has altered the rhetorical goals of the bible and presupposes that it has presented itself as a replacement for God's Word. It also presupposes that the show has been influenced by Mormon and Catholic theology. But it has not.

Having said these counter arguments, I do agree with the three questions at the end...that we should ask these questions when we're about to try something new in general. And I've also added some further questions on each:

1. Did Jesus really say that? If He didn't, does it still agree harmoniously with the bible?

2. Am I in danger of believing apocryphal literature or media about Jesus?

3. Is there a reason any Christian media moves me when the bible does not? Could this possibly be a heart issue that I just happen to project upon the media?

Should you watch the show? Only if you understand its intended purpose.

If you will watch the show, please watch it through the lens of The Bible; Don't read the bible through the lens of the show.",Against,,2,6 replies,2 months ago
Isaiah Eli,"May the Lord return soon!! Amen. God is merciful. He always forgives. Never be ashamed to take your failures to him. He is for you, not against you! God is with you in the storm. He knows your troubles, he hears you! He is for you, on your side, always! It may feel silent at times, but he’s holding you close! May the Lord return soon! We are drawing closer. He is coming! Believe and trust in the Lord, you will be saved. Period. May the Lord bless you all! Hang in there family. Stay strong. It is not easy following the Lord. We are scoffed at. We give up our earthly dreams, our fleshly desires. What the enemy offers is short lived, but heaven is forever! Life may seem or be unfair, but God is with you! Always remember that. Things may get better or worse for you, but a kingdom awaits you! Finish the race! Repent daily and carry your cross. This world is fading fast. Your troubles are temporary! New channel here, I’d appreciate any kind of support. Don’t give up! God loves you so much! So do I. The Lord bless you!!",Against,,5,,8 months ago
Jonathan Marin,"When It comes to Biblical shows. Its really hard to find one that really sticks to scripture. They always have to add something to spice it up a bit. For example in the Spanish community theres a show about Joseph and his story in Egypt. Needless to say, they add many things that arent in the Bible and might confuse people who havent read the Bible",For,,3,,8 months ago
Justin Mayfield,I had wished they did something similar but with the early church supplying the characters and context. Could have been awesome!,Against,,"
    0
  ",,5 months ago
Nick Gerber,"Words do matter, yet, I weep for this man...",Against,,"
    0
  ",,7 months ago
mary,Thank you soooooo very much for sharing this .,For,,1,,8 months ago
Libby Daddy,"Well layed out. Thank you. That last question, with any entertainment but particularly with entertainment that deals with Scripture, is imporrtant to consider. Scripture truly should be enough.",For,,1,,8 months ago (edited)
Shulamite,Y’all better know God for yourself! That comes from spending time with Jesus!🇨🇦,For,,5,,8 months ago
Marius Jansen,Thanks Todd God bless you. Also love the mention of the 5 soals.,For,,"
    0
  ",,8 months ago
Melissa Burst,"Wretched you are the only main stream theologian that gives a warning and true critique about this unholy series.  Really shocked and I'm utter disbelief that people like David DiGa Hernandez, Marcus Rogers, AOC Network, and Isaiah Saldivar all promote and support this.",For,,2,"·
1 reply",4 months ago
M M,"I watch it and so far really like how they have portrayed possible ways Jesus may have dealt with the others on a daily basis.  I also enjoy picking scriptures out of the show that are in the Bible including parts where, for example Nicodemus, gave the opposite instruction that Jesus did about what goes into man and comes out.",Against,,"
    0
  ",,7 months ago
jindu ogbugh,The ending part about the dog is hilarious,Drop,,1,,8 months ago
mrkj,"I'm a Christian. I am 18 years old.
I read Bible, still reading.
And i know that, In The Chosen's script all the things are not the exactly the same that Jesus said. I know that in the last of revelation, written like don't add or don't take away anything from this Book (BIBLE). 
, The Chosen's director also said this is not the exact things that Jesus said/did many things in it are created by him, but i  think that show is really helpful to sooo many ppl that who don't know Christ. New developments, new idea of spreading Jesus's words- i thinking it like that. Nobody can erase my Love for Jesus by doing a show like that. it increasing day by day. 
Soo many non-believers are came to Christ bcoz of The Chosen' show. I saw a comment like a viewer was going to suiçídîng but after seeing The Chosen', he/she changed mind and came to Christ.
I think The Chosen is a very effective platform to call the non believers to Christ and the Christians to love Jesus and everyone more. John the apostle 21: 5 Jesus did many other things as well. If every one of them were written down, I suppose that even the whole world would not have room for the books that would be written.
There are so many things that Jesus did.But we know that may not be the same things that we can see in The Chosen. But every person who see The Chosen can't resist Jesus's love. They can see the mercy of Jesus over  judgement. “I desire mercy, not sacrifice. For I have not come to call the righteous, but sinners.” this is what Jesus said. Everyone who see The Chosen will come to Christ I'm sure, thereby in the name of their love towards Jesus will make them read the Bible. Thereby they'll get more and more close to Jesus our Lord. By that they'll live a life w/ kindness and peace and more than anything, they all learn to forgive like Jesus forgive us. ️

So,the point is, i know that the chosen is not the exact same the things Jesus did, but this show shows the UNFAILING LOVE OF JESUS TOWARDS US. HIS LOVE WILL NEVER CHANGE ️. HE IS THE SAME GOD ",Against,,3,,5 months ago
Matthew Natividad,Thank you Todd. For the truth. God bless you,For,,16,1 reply,8 months ago
Amilton Goncalves,Thank you for helping me think threw this.,For,,3,,8 months ago
Bekah Joy G,"I have never watched The Chosen and at first I felt such guilt for NOT because a lot of my friends watch it and have only good things to say about it and I felt like a ""heathen"" for not watching the Bible....but as I've watched reviews and things I'm becoming more thankful that I never have",For,,1,,5 months ago
Flora Attiba,Thank you so much for your work,For,,1,,8 months ago
Jesse Wightman,"Thank you for this video and the three points made - theology, sufficiency and blasphemy. Virgil Walker made this point in his recent Twitter comments.",For,,"
    0
  ",,2 months ago
Kar Licón,"Thank you, Todd. I’ve watched it but took it as fictional, now I’m gonna leave it behind. 
Love Wretched, Blessings from Aguas, Mexico.",For,,7,,8 months ago
1211foster,"I became concerned when I watched some of the behind the scenes and writers' videos they put out.
Just a bit of content that are red flags:
-Jesus dictating, rehearsing, and taking suggestions from his disciple while ""prepping"" his Sermon on the Mt.
-The slander of Peter, who is our brother whom we will get to know in heaven. It's implied that he had been adulterous, that he betrayed his fellow Jews, among other things.
-The statement that the word of God won't be completely written, that it can be added to. The writers actually chuckled at how pleased Mormon ""Christians"" were with that scene.
-Changing actual facts (ex. writing in a female as the main instigator of bringing the paralytic to Jesus. I'm female and I know pandering when I see it.)
This is just from seeing various scenes & director's commentary on YT. I've seen enough to know I can't support this series with my viewership.",For,,19,1 reply,8 months ago (edited)
Under Construction,"I do understand Todd's point of view. I watch The Chosen and have recommended non-believers to watch The Chosen. The hearts of the people who brought this show to life are God's concern, not mine. I judge the show based on its content and I have found it to up hold the message that Jesus came to share. If that ever changes then I will make the appropriate changes to my viewing habits. I do not go to The Chosen to connect with our Lord. I go to my bible and into prayer for that. The Chosen is in my opinion healthy entertainment. I use it as such.",Against,,63,14 replies,8 months ago (edited)
Anita Cooper,"Great job with this video/information.  I believe that The Chosen ""adds to and takes away from the words"" -- which God specifically commands us not to do. (Revelation 22:18)",For,,1,,8 months ago
Hope for Christ,Thank you for this video! ,For,,1,,8 months ago
Anita Welsh,"As a reasonably new Christian I watched the first season, but I was put off from the beginning by how good looking everyone was, and slightly sassy. And the massive promotion at the start of each episode.",For,,2,,8 months ago
John14:6 is the only way,Thank you brother!!!!!!!!!,For,,1,,8 months ago
Robert Mileage,"This made me chuckle a bit



Question 3 Is there a reason The Chosen moves me when the Bible does not?

Why isn't the Bible sufficient?....

[a minute later]

If you wanna do a deep dive into the real Biblical Jesus and have your emotions stirred.....here's my book 



Thanks for the video though, we should ask questions of anything and everything outside of Scripture",For,,6,,8 months ago
khulisomonica,We watched a couple of episodes but struggle ti connect with the series. One issue thst stood out was at the wedding in Canan. The writers made it look like Jesus seemed unsure of himself and needed his mother Mary to tell him it was time to start his ministry.,For,,1,,5 months ago (edited)
Brylan Riggs,This video is 100% on point!! Great job Todd ,For,,47,,8 months ago
Eric Troxell,Wow. Im SHOCKED and so glad you did this,For,,3,,8 months ago
Guilherme Nascimento,"Given the shows we have on tv nowadays, The Chosen is fine. Specially for the kids, who are bombarded with wrong messages in the Marvel movies, for example. If you are a mature Christian, everything you watch passes through your biblical filter. After each episode I tell my kids what is biblical and what is apocryphal poethical insertions.",Against,,2,,8 months ago (edited)
Trudy Seeker,I Have enjoyed you popping up on my site over the past yr or so ..you are one of few that I trust  Having been beguiled into mormon cult for over 3 decades born again  at 31  then got the door knock  .. free 6 odd yrs Praise  The Lord Halleluia xxxxx from N.Z,For,,2,,8 months ago
Reynolds Joshua,"Todd, I just love  ✓the content, ✓the spunky n' tongue-in-cheek presentation, n' ✓the doctrinal fidelity  of your productions! GOD BLESS YOU, good Brother!",Drop,,5,,8 months ago
Nikki,"Thank you!!!! I was starting to think I was the only one who won't watch it. I'm not a fan of any Christian movies, though. I have yet to find a truly Scriptural one. It's always adjusted for ""entertainment"" and to soften the gospel, so it's less exclusive. Honestly, I don't really watch tv or movies at all. I don't want garbage, fake people/scenarios and godless rhetoric in my brain. And yes, there is a reason the apocryphal books are non-canonical. They are a main reason many think the Bible contradicts itself. And I won't comment on Roman Catholic and Mormon theology........both heartbreakingly flawed.",For,,31,11 replies,8 months ago (edited)
Neil Driedger,"GREAT video,loved it Todd!!!!!",For,,1,,8 months ago
Mercy Jebalin,Yes we should watch the chosen.... which is drawing us closer to God.,Against,,1,,1 month ago
David Russell,Very valid points and questions to consider.,For,,"
    0
  ",,8 months ago
Gabriel Calderon,“God is the law” - Todd Friel,Drop,,"
    0
  ",,5 months ago
ripper12322,"I feel like I need to be careful how I word this as well. Yes I do agree with you there are other aspects like the producers etc that needs to be taken into consideration for sure. Another and probably the biggest thing is that for youngster and sometimes not youngster they SHOULD NOT substitute reading the bible with watching this show, this goes for ANY Christian show for that matter. This is purely entertainment and supplementation to reading the Word. The show to me brings out the words and shows me the side I never thought about and that was of the disciples, it tends to put me in their seat and how I ""think"" I would have perceived it.

Faith is not a emotion let me make that clear firstly, however seeing certain miracles performed on show as I know the Words from the Bible it spoke volumes to me and just made me Love Jesus even more. a Great example is the lame man who was sleeping next to the pool. I was crying big manly tears of joy! Also the woman at the well, just wow. Reading that and seeing it in such context just burns fire in my heart. I mean Jesus did that, He loves us so. 

When your center is Jesus, and knowing more of Jesus and NOT the show then I think it is a good thing.",Against,,3,,8 months ago
AUX ORION,"What do you think of the movie Risen? I thought it was very well-made, though there are a few moments where the character of Jesus speaks with the main character who was not in the Bible. I thought they did it with great respect but technically it spoke for Him.",Drop,,"
    0
  ",,8 months ago
